Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S209678365,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,278,200,CN-36,,L39503287,狮子山,29.123604,115.959571,2025-01-18,10:07 AM,eBird - Stationary Count,38,1,,,9
S209848551,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,278,2,CN-36,,L29368353,白鹤洲 (Baihezhou),28.8402384,116.4561555,2025-01-19,01:35 PM,eBird - Traveling Count,125,1,4.764,,4
S208571194,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,278,1,CN-32,,L9155195,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),33.603891,120.5134201,2025-01-09,10:59 AM,eBird - Traveling Count,111,1,3.476,,3
S209593845,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,285,2,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3,,weird
S210156940,Lesser White-fronted Goose,Anser erythropus,288,X,CN-34,,L5765754,升金湖 (Shengjin Lake),30.3755681,117.1052885,2025-01-11,08:09 AM,eBird - Stationary Count,614,1,,,1
S209694441,Taiga Bean-Goose,Anser fabalis,290,5,CN-36,,L39507060,011825 Crane Field,29.125473,115.882265,2025-01-18,04:33 PM,eBird - Traveling Count,22,1,.185,,9
S210123691,Taiga Bean-Goose,Anser fabalis,290,4,CN-41,,L39596554,012125 LTDU,34.856247,112.576787,2025-01-21,01:03 PM,eBird - Stationary Count,32,1,,,4
S208567728,Taiga Bean-Goose,Anser fabalis,290,50,CN-12,,L32413954,北大港水库 (Beidagang Reservoir),38.7358754,117.3537965,2025-01-09,10:40 AM,eBird - Traveling Count,199,1,20.,,4
S210156940,Taiga Bean-Goose,Anser fabalis,290,X,CN-34,,L5765754,升金湖 (Shengjin Lake),30.3755681,117.1052885,2025-01-11,08:09 AM,eBird - Stationary Count,614,1,,,1
S209681836,Taiga Bean-Goose,Anser fabalis,290,7,CN-36,,L2478432,吴城 (Wu Cheng),29.1863012,116.0184929,2025-01-18,11:13 AM,eBird - Stationary Count,31,1,,,9,,,Waiting for IMEA from NE side of the parking lot
S209890210,Taiga Bean-Goose,Anser fabalis,290,2,CN-31,,L2080562,崇明东滩鸟类国家级自然保护区 (Chongming Dongtan NNR),31.4951401,121.9647217,2025-01-19,08:00 AM,eBird - Traveling Count,480,1,50.,,12
S210135026,Taiga Bean-Goose,Anser fabalis,290,100,CN-31,,L2080562,崇明东滩鸟类国家级自然保护区 (Chongming Dongtan NNR),31.4951401,121.9647217,2025-01-21,09:15 AM,eBird - Traveling Count,320,1,25.,,3
S209593845,Taiga Bean-Goose,Anser fabalis,290,1000,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S207912011,Taiga Bean-Goose,Anser fabalis,290,25,CN-32,,L3651124,条子泥 (Tiaozini Tidal Flats),32.8754268,120.9679583,2025-01-04,08:46 AM,eBird - Traveling Count,221,1,32.15,,2
S209593885,Taiga Bean-Goose,Anser fabalis,290,10000,CN-42,,L39485145,汉南五湖 (Hannan Wuhu),30.2078828,113.8201042,2025-01-12,09:00 AM,eBird - Traveling Count,270,1,10.,,5,,"estimated, even more"
S209593866,Taiga Bean-Goose,Anser fabalis,290,X,CN-42,,L9932156,沉湖 (Chen Lake),30.3077087,113.8482552,2025-01-12,02:30 PM,eBird - Traveling Count,120,0,10.,,5
S210212966,Taiga Bean-Goose,Anser fabalis,290,X,CN-34,,L22118855,泊湖 (Bo Lake),30.1506695,116.4660487,2025-01-13,01:00 PM,eBird - Stationary Count,330,1,,,1
S209672387,Taiga Bean-Goose,Anser fabalis,290,120,CN-36,,L39502000,浮雪亭,29.089064,115.945422,2025-01-18,08:39 AM,eBird - Stationary Count,26,1,,,9
S209593824,Taiga Bean-Goose,Anser fabalis,290,20,CN-42,,L39484764,涨渡湖 (Zhangdu Lake),30.6693048,114.7253365,2025-01-13,03:20 PM,eBird - Stationary Count,60,0,,,3
S209595865,Taiga Bean-Goose,Anser fabalis,290,10,CN-32,,L11633969,清阳港鱼塘 (Qingyanggang Fish Ponds),33.5634254,120.5536683,2025-01-10,10:30 AM,eBird - Traveling Count,180,0,5.,,5
S209678365,Taiga Bean-Goose,Anser fabalis,290,200,CN-36,,L39503287,狮子山,29.123604,115.959571,2025-01-18,10:07 AM,eBird - Stationary Count,38,1,,,9
S209848551,Taiga Bean-Goose,Anser fabalis,290,200,CN-36,,L29368353,白鹤洲 (Baihezhou),28.8402384,116.4561555,2025-01-19,01:35 PM,eBird - Traveling Count,125,1,4.764,,4
S208571194,Taiga Bean-Goose,Anser fabalis,290,30,CN-32,,L9155195,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),33.603891,120.5134201,2025-01-09,10:59 AM,eBird - Traveling Count,111,1,3.476,,3
