"","Submission.ID","Common.Name","Scientific.Name","State.Province","Location","Date","TAXON_ORDER","CATEGORY","SPECIES_CODE","TAXON_CONCEPT_ID","PRIMARY_COM_NAME","ORDER","FAMILY","SPECIES_GROUP","REPORT_AS","SCI_NAME"
"72","S259778347","Yellow-bellied Greenbul","Chlorocichla flaviventris","KE-300","Arabuko-Sokoke Forest NR (NOT incl. Mida and/or Sabaki)","2025-07-14",24339,"species","yebgre1","avibase-avibase-D083BB3F","Yellow-bellied Greenbul","Passeriformes","Pycnonotidae (Bulbuls)","Bulbuls","",NA
"73","S244401605","Mountain Bulbul","Ixos mcclellandii","CN-33","053025 ROMI","2025-05-30",24533,"species","moubul2","avibase-avibase-473131CC","Mountain Bulbul","Passeriformes","Pycnonotidae (Bulbuls)","Bulbuls","",NA
"74","S289214160","Red-vented Bulbul","Pycnonotus cafer","NZ-AUK","Auckland Airport--Butterfly Creek","2025-12-20",24754,"species","revbul","avibase-avibase-95F3F185","Red-vented Bulbul","Passeriformes","Pycnonotidae (Bulbuls)","Bulbuls","",NA
"75","S249052688","Chestnut-crowned Warbler","Phylloscopus castaniceps","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",24946,"species","chcwar2","avibase-avibase-F1DD5495","Chestnut-crowned Warbler","Passeriformes","Phylloscopidae (Leaf Warblers)","Leaf Warblers","",NA
"76","S249052688","Hartert's Leaf Warbler","Phylloscopus goodsoni","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",24979,"species","harlew1","avibase-avibase-C1BD4698","Hartert's Leaf Warbler","Passeriformes","Phylloscopidae (Leaf Warblers)","Leaf Warblers","",NA
"77","S249052688","Gray-sided Scimitar-Babbler","Erythrogenys swinhoei","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",26090,"species","gysscb1","avibase-avibase-E4AFAF52","Gray-sided Scimitar-Babbler","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)","Tree-Babblers, Scimitar-Babblers, and Allies","",NA
"78","S249052688","Huet's Fulvetta","Alcippe hueti","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",26407,"species","gycful5","avibase-avibase-EE1BC181","Huet's Fulvetta","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Laughingthrushes and Allies","",NA
"79","S249052688","Chinese Hwamei","Garrulax canorus","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",26714,"species","melthr","avibase-avibase-71D4A209","Chinese Hwamei","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Laughingthrushes and Allies","",NA
"80","S251511693","Chinese Hwamei","Garrulax canorus","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-06-18",26714,"species","melthr","avibase-avibase-71D4A209","Chinese Hwamei","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Laughingthrushes and Allies","",NA
"81","S244772976","Moustached Laughingthrush (Eastern)","Ianthocincla cineracea","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-05-31",26762,"species","moulau3","avibase-avibase-01F5F4C6","Moustached Laughingthrush","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Laughingthrushes and Allies","","Ianthocincla cineracea"
"82","S269286648","California Gnatcatcher","Polioptila californica","US-CA","Torrey Pines State Reserve--Extension","2025-08-24",27137,"species","calgna","avibase-avibase-A0015FD7","California Gnatcatcher","Passeriformes","Polioptilidae (Gnatcatchers)","Gnatcatchers","",NA
